run_label,config_name,checkpoint_step,checkpoint_label,env_name,task_one_hot_idx,eval_seed,success_rate,avg_return,std_return,avg_steps,std_steps,avg_first_success_step,episodes,goals
pickplace_push,config_1,2200000,2200000,push-v3,1,67,0.94,383.0305918848412,904.0863802373119,70.8,112.72306683158672,43.40425531914894,50,50
pickplace_push,config_1,2250000,2250000,pick-place-v3,0,67,0.98,53.452659779984884,22.737744433758213,50.0,65.18200578036104,40.816326530612244,50,50
pickplace_push,config_1,2250000,2250000,push-v3,1,67,0.98,213.7012875526816,522.3131197640083,49.86,65.24021859596256,40.673469387755105,50,50
pickplace_push,config_1,2300000,2300000,pick-place-v3,0,67,0.98,53.5348663275995,22.90923938382077,50.72,65.08645427899913,41.55102040816327,50,50
pickplace_push,config_1,2300000,2300000,push-v3,1,67,0.98,231.7706533164105,535.020588278696,61.92,91.88320892106813,52.97959183673469,50,50
pickplace_push,config_1,2350000,2350000,pick-place-v3,0,67,1.0,56.90921884720377,21.75518071213041,42.32,6.322748046312051,42.32,50,50
pickplace_push,config_1,2350000,2350000,push-v3,1,67,0.9,489.9385179908677,1098.7407779169816,94.48,150.17258642736934,49.422222222222224,50,50
pickplace_push,config_1,2400000,2400000,pick-place-v3,0,67,0.98,56.00667223466566,23.9162148972273,51.9,64.98422100473189,42.755102040816325,50,50
pickplace_push,config_1,2400000,2400000,push-v3,1,67,0.98,245.07618583594774,609.3008190326829,54.3,76.69692540999893,45.204081632653065,50,50
pickplace_push,config_1,2450000,2450000,pick-place-v3,0,67,1.0,63.270201546492444,18.57121042463756,44.0,6.480740698407862,44.0,50,50
pickplace_push,config_1,2450000,2450000,push-v3,1,67,0.78,940.117145436872,1516.625963776924,141.92,192.2148924978478,40.92307692307692,50,50
pickplace_push,config_1,2500000,2500000,pick-place-v3,0,67,1.0,62.162256077151625,19.35947170219017,43.48,6.4625767275277815,43.48,50,50
pickplace_push,config_1,2500000,2500000,push-v3,1,67,0.78,938.237410646501,1501.3040004352188,142.62,191.8229296161713,41.82051282051282,50,50
pickplace_push,config_1,2550000,2550000,pick-place-v3,0,67,1.0,58.03428893884126,21.21179715144922,42.64,6.702908293557114,42.64,50,50
pickplace_push,config_1,2550000,2550000,push-v3,1,67,0.98,260.4710431302395,620.9352198504065,56.0,77.70561926467172,46.93877551020408,50,50
pickplace_push,config_1,2600000,2600000,pick-place-v3,0,67,1.0,58.298574641200474,20.78760365944414,43.06,6.8969380961438835,43.06,50,50
pickplace_push,config_1,2600000,2600000,push-v3,1,67,0.96,303.4302449925273,739.1774211933965,61.68,92.44776572613912,43.416666666666664,50,50
pickplace_push,config_1,2650000,2650000,pick-place-v3,0,67,1.0,58.2685602444115,20.91712134879516,42.98,6.819809082252035,42.98,50,50
pickplace_push,config_1,2650000,2650000,push-v3,1,67,1.0,148.76407047603297,151.28854393021743,43.64,24.240091600823757,43.64,50,50
pickplace_push,config_1,2700000,2700000,pick-place-v3,0,67,1.0,64.98122764199923,16.84580584345718,44.14,6.369602557043403,44.14,50,50
pickplace_push,config_1,2700000,2700000,push-v3,1,67,1.0,136.93567017290124,35.52106885274713,40.94,4.970976990984566,40.94,50,50
pickplace_push,config_1,2750000,2750000,pick-place-v3,0,67,1.0,64.6832171580847,17.573193780360125,44.2,6.746125116067197,44.2,50,50
pickplace_push,config_1,2750000,2750000,push-v3,1,67,1.0,137.5344642562947,28.746115945361247,40.62,4.407275987801657,40.62,50,50
pickplace_push,config_1,2800000,2800000,pick-place-v3,0,67,1.0,62.236423009629945,18.132463347127352,43.94,6.911717350607871,43.94,50,50
pickplace_push,config_1,2800000,2800000,push-v3,1,67,0.96,277.14556670372764,690.4417240508965,58.8,91.0765544775943,40.416666666666664,50,50
pickplace_push,config_1,2850000,2850000,pick-place-v3,0,67,1.0,66.55657205714982,19.202275043698293,44.02,6.297035259645964,44.02,50,50
pickplace_push,config_1,2850000,2850000,push-v3,1,67,1.0,136.4952085896114,25.919245741201703,40.44,4.357306788485245,40.44,50,50
pickplace_push,config_1,2900000,2900000,pick-place-v3,0,67,1.0,62.32785610573641,19.586493295835268,42.86,6.423839528328387,42.86,50,50
pickplace_push,config_1,2900000,2900000,push-v3,1,67,0.98,203.0010658703839,448.4326553596414,50.42,65.41612171010932,41.244897959183675,50,50
pickplace_push,config_1,2950000,2950000,pick-place-v3,0,67,1.0,62.60499580368115,18.993568470944684,43.98,6.619359362305914,43.98,50,50
pickplace_push,config_1,2950000,2950000,push-v3,1,67,1.0,135.92069538207372,25.62213494314741,40.76,4.474690731531861,40.76,50,50
pickplace_push,config_1,3000000,3000000,pick-place-v3,0,67,0.98,60.00558096520935,21.170520145040097,53.74,64.7919149655106,44.63265306122449,50,50
pickplace_push,config_1,3000000,3000000,push-v3,1,67,0.96,264.77322771881916,651.0674236407277,59.22,91.00533512057503,40.854166666666664,50,50
pickplace_push,config_1,3050000,3050000,pick-place-v3,0,67,1.0,65.5690734686791,20.417644012213664,44.62,7.119648007809237,44.62,50,50
pickplace_push,config_1,3050000,3050000,push-v3,1,67,0.94,355.56334069660875,866.901369751177,68.58,110.18964913053404,41.04255319148936,50,50
pickplace_push,config_1,3100000,3100000,pick-place-v3,0,67,1.0,64.01146897142694,18.756820017482863,44.58,6.875243965986716,44.58,50,50
pickplace_push,config_1,3100000,3100000,push-v3,1,67,0.98,211.62296697677107,518.429523421295,50.24,65.04741128043231,41.06122448979592,50,50
pickplace_push,config_1,3150000,3150000,pick-place-v3,0,67,0.98,63.10702985384787,22.018156495008146,53.68,64.79337330691925,44.57142857142857,50,50
pickplace_push,config_1,3150000,3150000,push-v3,1,67,0.96,271.6373835486549,692.4658830830523,59.22,90.99322468610238,40.854166666666664,50,50
pickplace_push,config_1,3200000,3200000,pick-place-v3,0,67,0.98,64.19468033181015,20.542406099426657,53.38,64.79886935269593,44.265306122448976,50,50
pickplace_push,config_1,3200000,3200000,push-v3,1,67,0.98,204.30336304068507,482.50999419609326,50.76,65.00378638893244,41.59183673469388,50,50
pickplace_push,config_1,3250000,3250000,pick-place-v3,0,67,1.0,68.05698718221888,33.467983229674026,53.08,57.65514650373674,53.08,50,50
pickplace_push,config_1,3250000,3250000,push-v3,1,67,0.96,275.78446345302814,677.1513871952063,60.46,90.79157787066426,42.145833333333336,50,50
pickplace_push,config_1,3300000,3300000,pick-place-v3,0,67,0.96,62.113529406074,23.462099749667164,63.44,90.30518777332512,45.25,50,50
pickplace_push,config_1,3300000,3300000,push-v3,1,67,0.98,145.13336441631472,81.66433985474754,51.1,64.98453505195191,41.93877551020408,50,50
